day1,inform,v. 1) 알리다 2) 통지하다
day1,advise,v. 충고하다
day1,service,n. 1) 봉사 2) 공공업무
day1,provide,v. 1) 공급하다 2) 준비하다
day1,relationship,n. 관계
day1,behave,v. (예의 바르게) 행동하다
day1,improve,v. 1) 향상시키다 2) 향상하다
day1,individual,n. 개인 a. 1) 개인의 2) 개인주의적인
day1,require,v. 1) 필요로 하다 2) 요구하다
day1,million,n. 100만 a. 100만의
day1,social,a. 1) 사회의 2) 사교적인
day1,amount,n. 1) 총계 2) 양 v. 총계가 ~이 되다
day1,employ,v. 고용하다
day1,terrible,a. 1) 무서운 2) 끔찍한
day1,attitude,n. 1) 태도 2) 입장
day1,research,n. 연구 v. 1) 연구하다 2) 조사하다
day1,audience,n. 1) 청중 2) 관객
day1,volunteer,n. 지원자 v. 자발적으로 ~하다
day1,influence,n. 영향 v. 영향을 끼치다
day1,international,a. 1) 국제의 2) 국제적인
day1,opportunity,n. 기회
day1,ability,n. 능력
day1,expense,n. 1) 비용 2) 지출
day1,involve,v. 1) 포함하다 2) 수반하다
day1,stress,n. 1) 강조 2) 스트레스 v. 강조하다
day1,therefore,ad. 1) 그러므로 2) 그 결과
day1,average,n. 평균 a. 평균의 v. 평균이 ~가 되다
day1,ride,v. (탈 것을) 타다 n. 태움
day1,local,a. 1) 지방의 2) 지역의 3) 장소의
day1,encourage,v. 1) 촉구하다 2) 격려하다
day1,determine,v. 1) 결심하다 2) 결정하다
day1,comfort,n. 1) 편안 2) 위로 v. 편안하게 하다
day1,consume,v. 소비하다
day1,object,n. 1) 물체 2) 목표 v. 반대하다
day1,impress,v. ~에게 깊은 인상을 주다
day1,available,a. 1) 이용 가능한 2) 쓸모 있는
day1,contain,v. 1)함유하다 2)포함하다 3)억제하다
day1,diet,n. 1) 다이어트 2) 식이요법 3) 식단
day1,recognize,v. 1) 인지하다 2) 인정하다
day1,material,n. 1) 재료 2) 물질 a. 물질의
day1,abide by,지키다
day1,above all (things),무엇보다도
day1,be absorbed in,~에 열중하다
