DAY 01,innocent,"a. ① 결백한, 무죄인, 무고한 ② 순결한, 순진한"
DAY 01,hostile,"a. ① (사람이) 적의 있는, 적대하는; 적개심[악의]을 품은② 적의, 적군의③ (사람·사물에) 불리한; (기후·환경 등이) 부적당한, 맞지 않은④ 반대하는, 냉담한"
DAY 01,glorify,"v. ① (신 등을) 찬미하다, (신의) 영광을 찬양하다, 찬송하다② (사람·행동 등을) 칭찬[찬양]하다③ 실제 이상으로 미화하다"
DAY 01,deceased,"a. 죽은, 사망한, 고인이 된, 고(故)~(the ~) 고인"
DAY 01,antithesis,"n. ① 정반대, 반대(되는 것)② (둘 사이의) 대조, 대립"
DAY 01,multiple,"a. ① 많은, 다수의, 복수의② 다양한, 다방면에 걸친, 복합적인"
DAY 01,refund,"n. 환불(금),환불하다, (남에게 금전을) 돌려주다"
DAY 01,dotage,"n. ① 망령, 노망② 맹목적 애정"
DAY 01,satire,"n. ① 풍자; 풍자 문학, 풍자시문② 빈정거림, 신랄한 비꼼"
DAY 01,proficient,"a. 숙달된, 능숙한"
DAY 01,exert,"vt. ① (힘·능력 등을) 발휘하다, 쓰다; (권력·영향력 등을) 휘두르다, 행사하다 ② <재귀용법> 열심히 노력하다, 분투하다[for]"
DAY 01,artificial,"a. ① 인조의; 인공적인, 모조의, 인위적인② 부자연스러운, 꾸민, 거짓의, 가짜의"
DAY 01,whim,"n. 변덕, 종잡을 수 없는 생각, 일시적 기분"
DAY 01,formidable,"a. ① 무서운, 무시무시한② 만만찮은, 얕잡아 볼 수 없는③ 방대한, 엄청나게 많은"
DAY 01,commerce,"n. ① 상업; 통상, 교역② (사회적) 교류, 교제"
DAY 01,drastic,"a. ① (변화 등이) 급격한② (행동·방법 따위가) 극단적인, 과감한, 철저한"
DAY 01,usurp,"v. (권력·지위 등을) 빼앗다, 찬탈하다, 강탈[횡령]하다"
DAY 01,primitive,"a.① 원시의, 원시시대의, 태고의② 원시적인"
DAY 01,ramp,n. (건물의) 경사로; 비탈길; (고속·간선 도로의) 램프
DAY 01,esteem,"vt. 존중[존경]하다, 높이 평가하다 n.존중, 존경"
DAY 01,beneficial,"a. 유익한, 이익을 가져오는"
DAY 01,transit,"n. ① 수송; 공공 여객 운송② (다른 곳으로 가기 위한) 통과, 환승, 통행"
DAY 01,acknowledge,"vt. ① 인정하다, 승인하다, 자인(自認)하다, 고백하다② (친절·선물 등에 대한) 사의를 표명하다; (인사 등에) 답례하다"
DAY 01,peninsula,n. 반도(半島)
DAY 01,outspoken,"a. 솔직한, 거리낌 없는, 숨김없이 말하는"
DAY 01,virtuoso,"n. (예술의, 특히 음악의) 대가, 거장, 명인"
